ST001|Student 1|student1@example.com
ST002|Student 2|student2@example.com
ST003|Student 3|student3@example.com
ST004|Student 4|student4@example.com
ST005|Student 5|student5@example.com
ST006|Student 6|student6@example.com
ST007|Student 7|student7@example.com
ST008|Student 8|student8@example.com
ST009|Student 9|student9@example.com
ST010|Student 10|student10@example.com
ST011|Student 11|student11@example.com
ST012|Student 12|student12@example.com
ST013|Student 13|student13@example.com
ST014|Student 14|student14@example.com
ST015|Student 15|student15@example.com
ST016|Student 16|student16@example.com
ST017|Student 17|student17@example.com
ST018|Student 18|student18@example.com
ST019|Student 19|student19@example.com
ST020|Student 20|student20@example.com
ST021|Student 21|student21@example.com
ST022|Student 22|student22@example.com
ST023|Student 23|student23@example.com
ST024|Student 24|student24@example.com
ST025|Student 25|student25@example.com
ST026|Student 26|student26@example.com
ST027|Student 27|student27@example.com
ST028|Student 28|student28@example.com
ST029|Student 29|student29@example.com
ST030|Student 30|student30@example.com
ST031|Student 31|student31@example.com
ST032|Student 32|student32@example.com
ST033|Student 33|student33@example.com
ST034|Student 34|student34@example.com
ST035|Student 35|student35@example.com
ST036|Student 36|student36@example.com
ST037|Student 37|student37@example.com
ST038|Student 38|student38@example.com
ST039|Student 39|student39@example.com
ST040|Student 40|student40@example.com
ST041|Student 41|student41@example.com
ST042|Student 42|student42@example.com
ST043|Student 43|student43@example.com
ST044|Student 44|student44@example.com
ST045|Student 45|student45@example.com
